gaz,liquid_tm,liquid,energy,water,nd,pressure_zad,pressure_buf,d,lin,kvch,сurrent,freq,vol,id
0.0,4.0,28.30773197263479,420.5,85.59793814271688,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.3678968867957595,487
0.0,4.0,28.291752591356634,420.5,85.62886597774923,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.359443278305233,487
0.0,4.0,28.275773210078476,420.5,85.65979381278157,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.350989669814706,487
0.0,4.0,28.25979382880032,420.5,85.69072164781392,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.3425360613241795,487
0.0,4.0,28.243814447522162,420.5,85.72164948284626,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.334082452833653,487
0.0,4.0,28.227835066244005,420.5,85.7525773178786,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.325628844343126,487
0.0,4.0,28.211855684965848,420.5,85.78350515291095,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.3171752358525994,487
0.0,4.0,28.19587630368769,420.5,85.81443298794329,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.3087216273620728,487
0.0,4.0,28.179896922409533,420.5,85.84536082297564,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.300268018871546,487
0.0,4.0,28.163917541131376,420.5,85.87628865800798,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.2918144103810194,487
0.0,4.0,28.14793815985322,420.5,85.90721649304032,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.2833608018904927,487
0.0,4.0,28.13195877857506,420.5,85.93814432807267,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.274907193399966,487
0.0,4.0,28.115979397296904,420.5,85.96907216310501,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.2664535849094394,487
0.0,4.0,28.100000016018747,420.5,85.99999999813735,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.2579999764189127,487
0.0,4.0,28.08402063474059,420.5,86.0309278331697,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.249546367928386,487
0.0,4.0,28.068041253462432,420.5,86.06185566820204,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.2410927594378593,487
0.0,4.0,28.052061872184275,420.5,86.09278350323439,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.2326391509473327,487
0.0,4.0,28.036082490906118,420.5,86.12371133826673,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.224185542456806,487
0.0,4.0,28.02010310962796,420.5,86.15463917329907,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.2157319339662793,487
0.0,4.0,28.004123728349803,420.5,86.18556700833142,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.2072783254757526,487
0.0,4.0,27.988144347071646,420.5,86.21649484336376,2273.0,11.0,8.0,18.0,7.0,20.0,18.0,48.5,3.198824716985226,487
